feature,importance
PULocationID_124,7.553947112726765e-08
PULocationID_217,7.474550034816802e-08
PULocationID_220,7.439917204934248e-08
PULocationID_127,6.518529124650168e-08
PULocationID_178,6.337552910595839e-08
PULocationID_165,6.322884487754758e-08
PULocationID_169,6.261869030659868e-08
PULocationID_22,6.160448200795592e-08
PULocationID_34,6.126365228828255e-08
PULocationID_92,5.671782542186002e-08
PULocationID_241,5.630917114064427e-08
PULocationID_28,5.333086230060181e-08
PULocationID_136,4.978492141763169e-08
PULocationID_63,4.7932551669456304e-08
PULocationID_16,4.7738129373603924e-08
PULocationID_131,4.6823742723700715e-08
PULocationID_47,4.61968178512367e-08
PULocationID_133,4.4052070559769603e-08
PULocationID_208,4.282953377308904e-08
PULocationID_228,4.17080170128256e-08
PULocationID_29,3.8391815544500884e-08
PULocationID_77,3.7101104361111734e-08
PULocationID_160,3.6066960712500956e-08
PULocationID_191,3.291172725069026e-08
PULocationID_93,2.860988473878281e-08
PULocationID_180,2.7977384954579562e-08
PULocationID_193,2.679548059713258e-08
PULocationID_62,2.640609754668851e-08
PULocationID_101,2.467504437063627e-08
PULocationID_194,2.3072844395271072e-08
PULocationID_247,2.0761127195179278e-08
PULocationID_250,1.9657150835151285e-08
PULocationID_121,1.7659212639929545e-08
PULocationID_123,1.632545107644813e-08
PULocationID_248,1.5399134200649864e-08
PULocationID_200,1.497201336221479e-08
PULocationID_183,1.4193763324966751e-08
PULocationID_227,1.3914306162113516e-08
PULocationID_53,1.1702693337394565e-08
PULocationID_60,1.0769049611146541e-08
PULocationID_83,1.0029694980728045e-08
PULocationID_32,9.441649556371919e-09
PULocationID_81,8.569211189520803e-09
month_12,7.785909241499283e-09
PULocationID_149,7.236796060569616e-09
PULocationID_11,5.892244821073017e-09
PULocationID_67,5.757187863238376e-09
PULocationID_14,5.6012907046436935e-09
PULocationID_157,4.567936129101249e-09
PULocationID_20,3.748160816333381e-09
PULocationID_128,3.2947471811157383e-09
PULocationID_203,2.7848302739452515e-09
PULocationID_189,2.751741290876164e-09
PULocationID_134,2.6585577347787043e-09
PULocationID_147,2.240124848349359e-09
PULocationID_73,2.1024870002307864e-09
PULocationID_242,1.7478317313065094e-09
month_1,1.1464145846186764e-09
PULocationID_171,8.718537441069852e-10
PULocationID_38,8.207521813591208e-10
PULocationID_98,5.01231232656536e-10
PULocationID_52,2.813939944043239e-10
PULocationID_106,2.438301308243952e-10
PULocationID_1,2.070569181784485e-10
PULocationID_122,1.328312764031984e-10
PULocationID_6,0.0
PULocationID_150,0.0
PULocationID_139,0.0
PULocationID_135,0.0
PULocationID_118,0.0
PULocationID_108,0.0
PULocationID_109,0.0
PULocationID_15,0.0
PULocationID_96,0.0
PULocationID_153,0.0
PULocationID_64,0.0
PULocationID_206,0.0
PULocationID_190,0.0
PULocationID_192,0.0
PULocationID_173,0.0
PULocationID_175,0.0
PULocationID_176,0.0
PULocationID_207,0.0
PULocationID_240,0.0
PULocationID_245,0.0
PULocationID_57,0.0
PULocationID_221,0.0
PULocationID_54,0.0
PULocationID_58,0.0
PULocationID_23,0.0
PULocationID_253,0.0
PULocationID_252,0.0
PULocationID_40,0.0
PULocationID_257,0.0
PULocationID_258,0.0
PULocationID_3,0.0
day_of_week_2,0.0
is_weekend,0.0
